Question,Total_S1,Adjectives_S1,Total_S2,Adjectives_S2,Total_S3,Adjectives_S3
1,91657,8445,76602,6614,66376,6022
11,13940,1738,11944,1379,10677,1229
12,38699,4609,38018,4776,30721,3806
38,56568,8320,47871,6803,37873,5392
39,45411,6855,22525,2952,17326,2193
40,35045,5049,28810,4026,21314,2763
41,19710,2933,22816,2941,16237,1992
42,27628,4101,0,0,0,0
43,22467,3181,0,0,0,0
44,7,2,0,0,0,0
52,0,0,54241,8311,41324,6059
53,0,0,21966,3168,18367,2573
54,0,0,27892,4091,22996,3169
55,0,0,14873,1800,9734,1105
