S3,S1,S2
GU020C,GU049,GU190B
GU039C,GU101,GU002B
GU044C,GU102,GU004B
GU046C,GU165,GU148B
GU047C,GU094,GU175B
GU051C,GU157,GU009B
GU058C,GU001,GU052B
GU060C,GU058,GU176B
GU061C,GU121,GU084B
GU062C,GU011,GU039B
GU063C,GU040,GU079B
GU064C,GU015,GU171B
GU065C,GU129,GU216B
GU066C,GU117,GU208B
GU068C,GU104,GU170B
GU069C,GU172,GU054B
GU072C,GU004,GU211B
GU083C,GU061,GU049B
GU084C,GU151,GU007B
GU085C,GU140,GU165B
GU094C,GU084,GU100B
GU103C,GU090,GU046B
GU104C,GU060,GU110B
GU106C,GU075,GU140B
GU114C,GU038,GU003B
GU115C,GU050,GU182B
GU117C,GU041,GU086B
GU118C,GU057,GU221B
GU119C,GU088,GU194B
GU120C,GU093,GU146B
GU122C,GU079,GU183B
GU123C,GU076,GU172B
GU126C,GU013,GU167B
GU129C,GU019,GU210B
GU131C,GU139,GU184B
GU135C,GU134,GU166B
GU142C,GU170,GU010B
GU144C,GU067,GU047B
GU145C,GU069,GU044B
GU146C,GU039,GU205B
GU148C,GU156,GU220B
GU149C,GU062,GU199B
GU152C,GU128,GU209B
GU157C,GU113,GU207B
GU159C,GU082,GU203B
GU160C,GU035,GU197B
GU161C,GU003,GU200B
GU163C,GU154,GU191B
GU170C,GU132,GU168B
GU171C,GU100,GU193B
GU178C,GU164,GU078B
GU181C,GU110,GU040B
GU200C,GU124,GU218B
GU211C,GU120,GU147B
GU213C,GU152,GU041B
NSU002C,NSU108,NSU044B
NSU005C,NSU005,NSU229B
NSU010C,NSU021,NSU003B
NSU018C,NSU111,NSU011B
NSU019C,NSU099,NSU210B
NSU023C,NYU192,NSU232B
NSU024C,NSU020,NSU012B
NSU034C,NSU105,NSU007B
NSU036C,NYU181,NYU252B
NSU038C,NSU156,NSU028B
NSU042C,NSU155,NSU079B
NSU044C,NSU106,NSU062B
NSU049C,NSU118,NSU040B
NSU051C,NSU080,NSU018B
NSU056C,NSU072,NSU047B
NSU058C,NSU083,NSU252B
NSU059C,NSU154,NSU151B
NSU066C,NSU056,NSU128B
NSU069C,NSU042,NSU177B
NSU074C,NSU067,NSU230B
NSU076C,NSU036,NSU027B
NSU078C,NSU160,NSU049B
NSU085C,NSU102,NSU182B
NSU094C,NSU003,NSU070B
NSU095C,NYU148,NYU137B
NSU098C,NSU152,NSU197B
NSU100C,NSU015,NSU263B
NSU104C,NSU018,NSU019B
NSU110C,NSU138,NSU036B
NSU111C,NSU006,NSU015B
NSU117C,NSU170,NSU022B
NSU118C,NSU163,NSU189B
NSU126C,NSU004,NSU009B
NSU128C,NSU073,NSU104B
NSU132C,NSU120,NSU146B
NSU136C,NSU212,NSU053B
NSU137C,NSU014,NSU004B
NSU138C,NSU057,NSU016B
NSU144C,NSU087,NSU025B
NSU150C,NSU162,NSU064B
NSU152C,NSU093,NSU123B
NSU153C,NSU035,NSU048B
NSU161C,NSU208,NSU029B
NSU162C,NSU023,NSU235B
NSU163C,NSU136,NSU034B
NSU169C,NSU092,NSU013B
NSU170C,NSU019,NSU052B
NSU172C,NSU134,NSU234B
NSU173C,NSU113,NSU186B
NSU174C,NSU203,NSU014B
NSU177C,NSU132,NSU038B
NSU178C,NSU202,NSU086B
NSU182C,NSU153,NSU199B
NSU189C,NSU115,NSU138B
NSU190C,NSU110,NSU256B
NSU193C,NSU033,NSU087B
NSU195C,NSU025,NSU168B
NSU197C,NSU190,NSU172B
NSU199C,NSU041,NSU046B
NSU201C,NSU054,NSU099B
NSU206C,NSU065,NSU149B
NSU208C,NSU043,NSU185B
NSU209C,NSU052,NSU035B
NSU211C,NSU177,NSU017B
NSU232C,NSU011,NSU245B
NSU233C,NSU133,NSU136B
NSU246C,NSU012,NSU023B
NYU001C,NSU127,NSU215B
NYU002C,NYU223,NYU201B
NYU003C,NSU032,NSU179B
NYU009C,NYU228,NYU230B
NYU010C,NYU230,NYU246B
NYU012C,NYU036,NYU116B
NYU014C,NYU128,NYU150B
NYU015C,NYU015,NYU270B
NYU016C,NYU285,NYU127B
NYU020C,NYU107,NYU113B
NYU021C,NYU120,NYU250B
NYU022C,NYU005,NYU173B
NYU024C,NYU037,NYU136B
NYU027C,NYU289,NYU088B
NYU028C,NYU027,NYU242B
NYU030C,NSU130,NSU032B
NYU032C,NYU255,NYU056B
NYU033C,NYU043,NYU075B
NYU041C,NYU146,NYU131B
NYU042C,NYU032,NYU066B
NYU044C,NYU209,NYU086B
NYU046C,NYU301,NYU062B
NYU049C,NYU270,NYU119B
NYU050C,NYU150,NYU140B
NYU051C,NYU213,NYU203B
NYU053C,NYU179,NYU099B
NYU054C,NSU196,NSU262B
NYU056C,NYU024,NYU156B
NYU058C,NSU026,NSU152B
NYU059C,NSU045,NSU030B
NYU061C,NYU250,NYU149B
NYU062C,NYU233,NYU290B
NYU065C,NYU262,NYU093B
NYU066C,NYU118,NYU141B
NYU071C,NYU169,NYU179B
NYU072C,NYU003,NYU109B
NYU073C,NYU253,NYU114B
NYU074C,NYU067,NYU024B
NYU075C,NYU050,NYU041B
NYU076C,NYU069,NYU226B
NYU077C,NYU057,NYU227B
NYU079C,NYU272,NYU191B
NYU080C,NYU219,NYU106B
NYU083C,NYU202,NYU044B
NYU084C,NYU238,NYU055B
NYU087C,NYU311,NYU067B
NYU093C,NYU229,NYU145B
NYU096C,NYU170,NYU171B
NYU098C,NYU222,NYU231B
NYU100C,NYU104,NYU288B
NYU101C,NYU298,NYU036B
NYU103C,NYU018,NYU163B
NYU104C,NYU322,NYU064B
NYU107C,NYU153,NYU158B
NYU110C,NYU127,NYU285B
NYU112C,NYU095,NYU157B
NYU113C,NYU264,NYU087B
NYU116C,NYU291,NYU070B
NYU124C,NYU216,NYU138B
NYU127C,NYU038,NYU133B
NYU128C,NYU302,NYU187B
NYU139C,NYU300,NYU289B
NYU152C,NYU063,NYU108B
NYU171C,NYU065,NYU110B
NYU174C,NYU267,NYU035B
NYU177C,NYU085,NYU089B
NYU182C,NYU123,NYU078B
NYU187C,NYU288,NYU039B
NYU194C,STLM074,STLM043B
NYU196C,NYU321,NYU107B
NYU197C,NSU071,NSU219B
NYU203C,NYU115,NYU071B
NYU211C,NYU119,NYU195B
NYU217C,NYU221,NYU122B
NYU235C,NYU105,NYU143B
NYU239C,NYU195,NYU262B
NYU243C,NYU260,NYU247B
NYU253C,NYU021,NYU060B
NYU269C,NYU204,NYU130B
NYU270C,NYU045,NYU090B
NYU275C,STLM032,STLM072B
NYU279C,NYU173,NYU194B
NYU280C,STLM097,STLM161B
NYU281C,NYU152,NYU073B
NYU282C,NYU286,NYU189B
NYU285C,NYU294,NYU248B
NYU293C,NYU139,NYU209B
NYU294C,NYU290,NYU166B
NYU297C,NYU290,NYU166B
NYU297C,STLC015,STLM159B
NYU302C,NYU274,NYU207B
NYU310C,NYU314,NYU280B
NYU312C,NYU313,NYU237B
NYU314C,NYU161,NYU094B
NYU315C,NYU293,NYU241B
NYU319C,NYU141,NYU154B
NYU323C,NYU149,NYU002B
NYU328C,NYU211,NYU124B
NYU329C,NYU162,NYU111B
NYU330C,NYU010,NYU244B
NYU334C,NYU086,NYU152B
NYU335C,NYU308,NYU204B
STAN002C,STAN103,STAN080B
